user_id,persona,experience_level,learning_goal,risk_profile,created_at,lessons_completed,avg_quiz_score,total_tutor_questions
u_0ad155df7a,fast_advanced,advanced,retirement,aggressive,2024-01-01T00:00:00,5.0,0.8399108747911436,0.0
u_d42ca5e695,overconfident_beginner,beginner,general,moderate,2024-01-01T00:00:00,0.0,0.0,0.0
u_79a5a585bd,engaged_learner,intermediate,general,conservative,2024-01-01T00:00:00,7.0,0.6428180136648837,5.0
u_630015c8d3,tool_first_explorer,intermediate,trading,aggressive,2024-01-01T00:00:00,4.0,0.7006167165271816,6.0
u_904b3cda44,fast_advanced,intermediate,general,aggressive,2024-01-01T00:00:00,1.0,0.6624193919797693,2.0
u_7cf2b2c09f,struggling_learner,beginner,general,conservative,2024-01-01T00:00:00,10.0,0.33082189009008034,14.0
u_b6ba8e71d4,careful_beginner,beginner,education,conservative,2024-01-01T00:00:00,8.0,0.5483982530549877,13.0
u_48336f4654,tool_first_explorer,intermediate,retirement,conservative,2024-01-01T00:00:00,13.0,0.4585560030789941,4.0
u_fa8ca9a914,engaged_learner,intermediate,education,conservative,2024-01-01T00:00:00,5.0,0.658298138070443,2.0
u_17b859b736,engaged_learner,intermediate,education,aggressive,2024-01-01T00:00:00,8.0,0.5774597041947548,11.0
u_03002d1c6e,careful_beginner,beginner,education,aggressive,2024-01-01T00:00:00,7.0,0.5052359917231095,8.0
u_321ddfb523,struggling_learner,beginner,education,conservative,2024-01-01T00:00:00,4.0,0.3425590327840835,9.0
u_84cf9c0ff2,overconfident_beginner,beginner,general,moderate,2024-01-01T00:00:00,4.0,0.5298126630862725,3.0
u_06e871c2a0,careful_beginner,beginner,general,conservative,2024-01-01T00:00:00,1.0,0.4688405421816427,0.0
u_b4d510b7cc,engaged_learner,intermediate,trading,aggressive,2024-01-01T00:00:00,15.0,0.5702094771314847,13.0
u_1c13fefe3c,engaged_learner,intermediate,general,aggressive,2024-01-01T00:00:00,18.0,0.6261725527647994,12.0
u_3a08683443,careful_beginner,beginner,retirement,moderate,2024-01-01T00:00:00,7.0,0.5527792935362597,10.0
u_52c9c97551,fast_advanced,advanced,retirement,conservative,2024-01-01T00:00:00,12.0,0.8175111219465481,0.0
u_bb63a181b9,tool_first_explorer,beginner,education,moderate,2024-01-01T00:00:00,15.0,0.46425211805757144,10.0
u_66df5858e6,careful_beginner,beginner,trading,conservative,2024-01-01T00:00:00,7.0,0.4916537311067615,7.0
u_6d8ad5fb04,tool_first_explorer,beginner,trading,conservative,2024-01-01T00:00:00,13.0,0.44345168247585004,6.0
u_1c4a98f2c6,fast_advanced,advanced,education,conservative,2024-01-01T00:00:00,16.0,0.8264686365178747,3.0
u_b5cfc99ef4,tool_first_explorer,intermediate,trading,aggressive,2024-01-01T00:00:00,11.0,0.5642949423478828,6.0
u_0563b5685b,engaged_learner,intermediate,trading,conservative,2024-01-01T00:00:00,11.0,0.6299246665677686,12.0
u_4360547d1a,engaged_learner,intermediate,trading,moderate,2024-01-01T00:00:00,8.0,0.6488877618638756,7.0
u_12e697b98f,careful_beginner,beginner,general,conservative,2024-01-01T00:00:00,8.0,0.5211727430457731,10.0
u_281c9d2a17,engaged_learner,intermediate,retirement,aggressive,2024-01-01T00:00:00,4.0,0.6960009791230106,7.0
u_64a5a3c0b8,overconfident_beginner,beginner,general,aggressive,2024-01-01T00:00:00,4.0,0.2629965471275946,5.0
u_6861470f03,overconfident_beginner,beginner,general,moderate,2024-01-01T00:00:00,2.0,0.41654804452582445,0.0
u_535cb18cc4,engaged_learner,intermediate,education,conservative,2024-01-01T00:00:00,9.0,0.6316372885807214,8.0
u_79ed344282,struggling_learner,beginner,trading,aggressive,2024-01-01T00:00:00,7.0,0.33175731283845755,13.0
u_6f69b82ba7,struggling_learner,beginner,education,aggressive,2024-01-01T00:00:00,2.0,0.29822824433366096,2.0
u_89f994b127,fast_advanced,advanced,general,conservative,2024-01-01T00:00:00,18.0,0.8513270409150163,0.0
u_532006e140,fast_advanced,advanced,general,conservative,2024-01-01T00:00:00,3.0,0.6732757628144141,0.0
u_d6f7bf735c,engaged_learner,intermediate,general,moderate,2024-01-01T00:00:00,18.0,0.5975939719005582,27.0
u_60861dfa7c,overconfident_beginner,beginner,general,conservative,2024-01-01T00:00:00,3.0,0.4004942086842144,0.0
u_539d9aa84c,overconfident_beginner,beginner,trading,moderate,2024-01-01T00:00:00,9.0,0.3629315496304985,3.0
u_f4101405eb,careful_beginner,beginner,retirement,aggressive,2024-01-01T00:00:00,8.0,0.5237253218327994,10.0
u_5cd64aed3f,overconfident_beginner,beginner,general,aggressive,2024-01-01T00:00:00,2.0,0.34282804563366565,2.0
u_8dbcb6c55a,struggling_learner,beginner,retirement,aggressive,2024-01-01T00:00:00,5.0,0.32913411309060386,10.0
u_6e0d41a89a,engaged_learner,intermediate,retirement,aggressive,2024-01-01T00:00:00,4.0,0.6332293075694272,5.0
u_59f5fa79dd,struggling_learner,beginner,general,aggressive,2024-01-01T00:00:00,5.0,0.3559868784008816,14.0
u_75bc36da4c,careful_beginner,beginner,general,aggressive,2024-01-01T00:00:00,7.0,0.5500766927573104,8.0
u_253da416f2,tool_first_explorer,intermediate,general,moderate,2024-01-01T00:00:00,6.0,0.519862303682779,6.0
u_80268d991a,struggling_learner,beginner,retirement,moderate,2024-01-01T00:00:00,12.0,0.26344734454906454,24.0
u_bd925957e9,overconfident_beginner,beginner,trading,moderate,2024-01-01T00:00:00,3.0,0.36297005244244107,0.0
u_2599d307e3,overconfident_beginner,beginner,education,aggressive,2024-01-01T00:00:00,8.0,0.35087435385497445,4.0
u_348d186876,fast_advanced,advanced,general,moderate,2024-01-01T00:00:00,3.0,0.7428576544586074,0.0
u_e8f548492c,engaged_learner,beginner,retirement,conservative,2024-01-01T00:00:00,10.0,0.6146547240370986,11.0
u_916ef5b85f,engaged_learner,intermediate,general,conservative,2024-01-01T00:00:00,14.0,0.63137252519449,12.0
u_13bcb9a002,careful_beginner,beginner,trading,conservative,2024-01-01T00:00:00,7.0,0.46586299893343325,13.0
u_99d9025d27,engaged_learner,intermediate,retirement,aggressive,2024-01-01T00:00:00,7.0,0.6446960648435006,7.0
u_61cdfaa2b8,careful_beginner,beginner,education,conservative,2024-01-01T00:00:00,2.0,0.5525272961214504,5.0
u_a05000ea6b,careful_beginner,beginner,general,aggressive,2024-01-01T00:00:00,12.0,0.5020518993726664,16.0
u_b99119f83a,engaged_learner,intermediate,general,conservative,2024-01-01T00:00:00,11.0,0.6560336036371417,12.0
u_341f58deaf,careful_beginner,beginner,education,conservative,2024-01-01T00:00:00,6.0,0.5878769443419255,12.0
u_29629ff7b1,engaged_learner,intermediate,general,conservative,2024-01-01T00:00:00,2.0,0.6050072592072572,3.0
u_2ddcae9e6e,tool_first_explorer,beginner,general,moderate,2024-01-01T00:00:00,1.0,0.4358119264742939,0.0
u_82c626f15b,fast_advanced,advanced,general,moderate,2024-01-01T00:00:00,7.0,0.8205262305648563,1.0
